,,SOLFEGE GAMES,,,,Rightmost columns are reminders of updates needed to individual games,,,Game Updates Needed,,,,,,,,
,80200,GAM-,1110-2,PLAY,Harmonic Minor Memory 1,"Hear, then play back random patterns in the A harmonic minor scale-on the staff",,1110,T,,,,,,L,,
,80250,GAM-,1110-3,QUIZ,Harmonic Minor Memory 1,"Hear, then play back random patterns in the A harmonic minor scale-on the staff",,1110,T,,,,,,L,,
,92250,GAM-,1110-1,LEARN,Harmonic Minor Memory 1,"Hear, then play back random patterns in the A harmonic minor scale-on the staff",,1110,T,,,,,,L,,
,92300,GAM-,1110-2,PLAY,Harmonic Minor Memory 1,"Hear, then play back random patterns in the A harmonic minor scale-on the staff",,1110,T,,,,,,L,,
,92350,GAM-,1110-3,QUIZ,Harmonic Minor Memory 1,"Hear, then play back random patterns in the A harmonic minor scale-on the staff",,1110,T,,,,,,L,,
,49650,GAM-,1120-1,LEARN,Harmony Pix 1,Hear a 4-chord progression of I and V7 chords. Same or different from what is seen?,,1120,T,,,,,,L,,
,49700,GAM-,1120-2,PLAY,Harmony Pix 1,Hear a 4-chord progression of I and V7 chords. Same or different from what is seen?,,1120,T,,,,,,L,,
,49750,GAM-,1120-3,QUIZ,Harmony Pix 1,Hear a 4-chord progression of I and V7 chords. Same or different from what is seen?,,1120,T,,,,,,L,,
,51700,GAM-,1120-5,REVIEW,Harmony Pix 1,Hear a 4-chord progression of I and V7 chords. Same or different from what is seen?,,1120,T,,,,,,L,,
,59650,GAM-,1130-1,LEARN,Harmony Pix 2,"Hear a 4-chord progression of I, IV & V7 chords. Same or different from what is seen?",,1130,T,,,,,,L,,
,59700,GAM-,1130-2,PLAY,Harmony Pix 2,"Hear a 4-chord progression of I, IV & V7 chords. Same or different from what is seen?",,1130,T,,,,,,L,,
,59750,GAM-,1130-3,QUIZ,Harmony Pix 2,"Hear a 4-chord progression of I, IV & V7 chords. Same or different from what is seen?",,1130,T,,,,,,L,,
,62300,GAM-,1130-5,REVIEW,Harmony Pix 2,"Hear a 4-chord progression of I, IV & V7 chords. Same or different from what is seen?",,1130,T,,,,,,L,,
,64200,GAM-,1130-1,LEARN,Harmony Pix 2,"Hear a 4-chord progression of I, IV & V7 chords. Same or different from what is seen?",,1130,T,,,,,,L,,
,64250,GAM-,1130-2,PLAY,Harmony Pix 2,"Hear a 4-chord progression of I, IV & V7 chords. Same or different from what is seen?",,1130,T,,,,,,L,,
,64300,GAM-,1130-3,QUIZ,Harmony Pix 2,"Hear a 4-chord progression of I, IV & V7 chords. Same or different from what is seen?",,1130,T,,,,,,L,,
,53300,GAM-,1140-1,LEARN,Harmony Puzzle 1,Hear 4 chord progressions. Match each progression to the correct chord symbols. I & V7,,1140,T,,,,,,L,,
,53350,GAM-,1140-2,PLAY,Harmony Puzzle 1,Hear 4 chord progressions. Match each progression to the correct chord symbols. I & V7,,1140,T,,,,,,L,,
,53400,GAM-,1140-3,QUIZ,Harmony Puzzle 1,Hear 4 chord progressions. Match each progression to the correct chord symbols. I & V7,,1140,T,,,,,,L,,
,56250,GAM-,1140-5,REVIEW,Harmony Puzzle 1,Hear 4 chord progressions. Match each progression to the correct chord symbols. I & V7,,1140,T,,,,,,L,,
,67250,GAM-,1150-1,LEARN,Harmony Puzzle 2,"Hear 4 chord progressions. Match to correct chord symbols. I-V7-I,  i-V7-i,  I-IV-I,  i-iv-i",,1150,T,,,,,,L,,
,67300,GAM-,1150-2,PLAY,Harmony Puzzle 2,"Hear 4 chord progressions. Match to correct chord symbols. I-V7-I,  i-V7-i,  I-IV-I,  i-iv-i",,1150,T,,,,,,L,,
,67350,GAM-,1150-3,QUIZ,Harmony Puzzle 2,"Hear 4 chord progressions. Match to correct chord symbols. I-V7-I,  i-V7-i,  I-IV-I,  i-iv-i",,1150,T,,,,,,L,,
,69250,GAM-,1150-5,REVIEW,Harmony Puzzle 2,"Hear 4 chord progressions. Match to correct chord symbols. I-V7-I,  i-V7-i,  I-IV-I,  i-iv-i",,1150,T,,,,,,L,,
,88900,GAM-,1150-1,LEARN,Harmony Puzzle 2,"Hear 4 chord progressions. Match to correct chord symbols. I-V7-I,  i-V7-i,  I-IV-I,  i-iv-i",,1150,T,,,,,,L,,
,88950,GAM-,1150-2,PLAY,Harmony Puzzle 2,"Hear 4 chord progressions. Match to correct chord symbols. I-V7-I,  i-V7-i,  I-IV-I,  i-iv-i",,1150,T,,,,,,L,,
,89000,GAM-,1150-3,QUIZ,Harmony Puzzle 2,"Hear 4 chord progressions. Match to correct chord symbols. I-V7-I,  i-V7-i,  I-IV-I,  i-iv-i",,1150,T,,,,,,L,,
,90050,GAM-,1150-5,REVIEW,Harmony Puzzle 2,"Hear 4 chord progressions. Match to correct chord symbols. I-V7-I,  i-V7-i,  I-IV-I,  i-iv-i",,1150,T,,,,,,L,,
,55500,GAM-,1160-1,LEARN,Hearing Harmonic Intervals1,"Hear a pattern of 3 harmonic intervals and identify the intervals: 2nds, 3rds, 4ths, 5ths",,1160,T,,,,,,L,,
,55550,GAM-,1160-2,PLAY,Hearing Harmonic Intervals1,"Hear a pattern of 3 harmonic intervals and identify the intervals: 2nds, 3rds, 4ths, 5ths",,1160,T,,,,,,L,,
,55600,GAM-,1160-3,QUIZ,Hearing Harmonic Intervals1,"Hear a pattern of 3 harmonic intervals and identify the intervals: 2nds, 3rds, 4ths, 5ths",,1160,T,,,,,,L,,
,59000,GAM-,1160-5,REVIEW,Hearing Harmonic Intervals1,"Hear a pattern of 3 harmonic intervals and identify the intervals: 2nds, 3rds, 4ths, 5ths",,1160,T,,,,,,L,,
,67700,GAM-,1160-1,LEARN,Hearing Harmonic Intervals1,"Hear a pattern of 3 harmonic intervals and identify the intervals: 2nds, 3rds, 4ths, 5ths",,1160,T,,,,,,L,,
,67750,GAM-,1160-2,PLAY,Hearing Harmonic Intervals1,"Hear a pattern of 3 harmonic intervals and identify the intervals: 2nds, 3rds, 4ths, 5ths",,1160,T,,,,,,L,,
,67800,GAM-,1160-3,QUIZ,Hearing Harmonic Intervals1,"Hear a pattern of 3 harmonic intervals and identify the intervals: 2nds, 3rds, 4ths, 5ths",,1160,T,,,,,,L,,
,77250,GAM-,1160-5,REVIEW,Hearing Harmonic Intervals1,"Hear a pattern of 3 harmonic intervals and identify the intervals: 2nds, 3rds, 4ths, 5ths",,1160,T,,,,,,L,,
,52150,GAM-,1170-1,LEARN,Hearing Triads 1 ,Hear a 4-chord pattern of Major and minor triads and define the quality of each chord.,,1170,T,,,,,,L,,
,52200,GAM-,1170-2,PLAY,Hearing Triads 1 ,Hear a 4-chord pattern of Major and minor triads and define the quality of each chord.,,1170,T,,,,,,L,,
,52250,GAM-,1170-3,QUIZ,Hearing Triads 1 ,Hear a 4-chord pattern of Major and minor triads and define the quality of each chord.,,1170,T,,,,,,L,,
,55650,GAM-,1170-5,REVIEW,Hearing Triads 1 ,Hear a 4-chord pattern of Major and minor triads and define the quality of each chord.,,1170,T,,,,,,L,,
,68000,GAM-,1170-1,LEARN,Hearing Triads 1 ,Hear a 4-chord pattern of Major and minor triads and define the quality of each chord.,,1170,T,,,,,,L,,
,68050,GAM-,1170-2,PLAY,Hearing Triads 1 ,Hear a 4-chord pattern of Major and minor triads and define the quality of each chord.,,1170,T,,,,,,L,,
,68100,GAM-,1170-3,QUIZ,Hearing Triads 1 ,Hear a 4-chord pattern of Major and minor triads and define the quality of each chord.,,1170,T,,,,,,L,,
,88400,GAM-,1180-1,LEARN,Hearing Triads 2,Aurally identifying Major and Augmented triads,,1180,T,,,,,,L,,
,88450,GAM-,1180-2,PLAY,Hearing Triads 2,Aurally identifying Major and Augmented triads,,1180,T,,,,,,L,,
,88500,GAM-,1180-3,QUIZ,Hearing Triads 2,Aurally identifying Major and Augmented triads,,1180,T,,,,,,L,,
,90100,GAM-,1180-5,REVIEW,Hearing Triads 2,Aurally identifying Major and Augmented triads,,1180,T,,,,,,L,,
,89450,GAM-,1190-1,LEARN,Hearing Triads 3,Aurally identifying minor and diminished triads,,1190,T,,,,,,L,,
,89500,GAM-,1190-2,PLAY,Hearing Triads 3,Aurally identifying minor and diminished triads,,1190,T,,,,,,L,,
,89550,GAM-,1190-3,QUIZ,Hearing Triads 3,Aurally identifying minor and diminished triads,,1190,T,,,,,,L,,
,90450,GAM-,1190-5,REVIEW,Hearing Triads 3,Aurally identifying minor and diminished triads,,1190,T,,,,,,L,,
,72500,GAM-,1260-1,LEARN,Interval Aliens 1,"Identify aural intervals: half step, 2nd, 3rd, 4th, 5th, octave",,1260,T,,,,,,L,,
,72550,GAM-,1260-2,PLAY,Interval Aliens 1,"Identify aural intervals: half step, 2nd, 3rd, 4th, 5th, octave",,1260,T,,,,,,L,,
,72600,GAM-,1260-3,QUIZ,Interval Aliens 1,"Identify aural intervals: half step, 2nd, 3rd, 4th, 5th, octave",,1260,T,,,,,,L,,
,76650,GAM-,1260-5,REVIEW,Interval Aliens 1,"Identify aural intervals: half step, 2nd, 3rd, 4th, 5th, octave",,1260,T,,,,,,L,,
,79200,GAM-,1270-1,LEARN,Interval Aliens 2,"Identify aural intervals: 2nd, mi 3rd, M3rd, 4th, 5th, octave",,1270,T,,,,,,L,,
,79250,GAM-,1270-2,PLAY,Interval Aliens 2,"Identify aural intervals: 2nd, mi 3rd, M3rd, 4th, 5th, octave",,1270,T,,,,,,L,,
,79300,GAM-,1270-3,QUIZ,Interval Aliens 2,"Identify aural intervals: 2nd, mi 3rd, M3rd, 4th, 5th, octave",,1270,T,,,,,,L,,
,84800,GAM-,1280-1,LEARN,Interval Aliens 3,"Identify aural intervals: m2, M2, m3, M3, P4, P5",,1280,T,,,,,,L,,
,84850,GAM-,1280-2,PLAY,Interval Aliens 3,"Identify aural intervals: m2, M2, m3, M3, P4, P5",,1280,T,,,,,,L,,
,84900,GAM-,1280-3,QUIZ,Interval Aliens 3,"Identify aural intervals: m2, M2, m3, M3, P4, P5",,1280,T,,,,,,L,,
,89400,GAM-,1280-5,REVIEW,Interval Aliens 3,"Identify aural intervals: m2, M2, m3, M3, P4, P5",,1280,T,,,,,,L,,
,86000,GAM-,1290-1,LEARN,Interval Aliens 4,"Identify aural intervals: P5, m6, M6, m7, M7, P8",,1290,T,,,,,,L,,
,86050,GAM-,1290-2,PLAY,Interval Aliens 4,"Identify aural intervals: P5, m6, M6, m7, M7, P8",,1290,T,,,,,,L,,
,86100,GAM-,1290-3,QUIZ,Interval Aliens 4,"Identify aural intervals: P5, m6, M6, m7, M7, P8",,1290,T,,,,,,L,,
,90250,GAM-,1290-5,REVIEW,Interval Aliens 4,"Identify aural intervals: P5, m6, M6, m7, M7, P8",,1290,T,,,,,,L,,
,90500,GAM-,1340-1,LEARN,Interval Pop Aural 3,"Aurally identify P5, m6, M6, m7, M7, P8",,1340,T,,,,,,L,,
,90550,GAM-,1340-2,PLAY,Interval Pop Aural 3,"Aurally identify P5, m6, M6, m7, M7, P8",,1340,T,,,,,,L,,
,90600,GAM-,1340-3,QUIZ,Interval Pop Aural 3,"Aurally identify P5, m6, M6, m7, M7, P8",,1340,T,,,,,,L,,
,90950,GAM-,1340-5,REVIEW,Interval Pop Aural 3,"Aurally identify P5, m6, M6, m7, M7, P8",,1340,T,,,,,,L,,
,90800,GAM-,1450-1,LEARN,Inversion Diversion 3,Visually identify 7th chord inversions,,1450,T,,,,,,L,,
,90850,GAM-,1450-2,PLAY,Inversion Diversion 3,Visually identify 7th chord inversions,,1450,T,,,,,,L,,
,90900,GAM-,1450-3,QUIZ,Inversion Diversion 3,Visually identify 7th chord inversions,,1450,T,,,,,,L,,
,91000,GAM-,1450-5,REVIEW,Inversion Diversion 3,Visually identify 7th chord inversions,,1450,T,,,,,,L,,
,59850,GAM-,1460-1,LEARN,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,59900,GAM-,1460-2,PLAY,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,59950,GAM-,1460-3,QUIZ,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,66300,GAM-,1460-1,LEARN,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,66350,GAM-,1460-2,PLAY,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,66400,GAM-,1460-3,QUIZ,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,73250,GAM-,1460-5,REVIEW,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,82250,GAM-,1460-1,LEARN,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,82300,GAM-,1460-2,PLAY,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,82350,GAM-,1460-3,QUIZ,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,83750,GAM-,1460-5,REVIEW,It's All Relative 1,"Identify relative minor key signatures: a, e, d and b minor",,1460,T,,,,,,L,,
,73000,GAM-,1550-1,LEARN,Key Signature Canoes 1,See a scale pattern and select the key signature that makes it a Major scale - sharps,,1550,T,,,,,,L,,
,73050,GAM-,1550-2,PLAY,Key Signature Canoes 1,See a scale pattern and select the key signature that makes it a Major scale - sharps,,1550,T,,,,,,L,,
,73100,GAM-,1550-3,QUIZ,Key Signature Canoes 1,See a scale pattern and select the key signature that makes it a Major scale - sharps,,1550,T,,,,,,L,,
,73400,GAM-,1550-5,REVIEW,Key Signature Canoes 1,See a scale pattern and select the key signature that makes it a Major scale - sharps,,1550,T,,,,,,L,,
,75300,GAM-,1560-1,LEARN,Key Signature Canoes 2,See a scale pattern and select the key signature that makes it a Major scale - flats,,1560,T,,,,,,L,,
,75350,GAM-,1560-2,PLAY,Key Signature Canoes 2,See a scale pattern and select the key signature that makes it a Major scale - flats,,1560,T,,,,,,L,,
,75400,GAM-,1560-3,QUIZ,Key Signature Canoes 2,See a scale pattern and select the key signature that makes it a Major scale - flats,,1560,T,,,,,,L,,
,77850,GAM-,1560-5,REVIEW,Key Signature Canoes 2,See a scale pattern and select the key signature that makes it a Major scale - flats,,1560,T,,,,,,L,,
,85250,GAM-,1570-1,LEARN,Key Signature Canoes 3,See a scale pattern and select the key signature that makes it a minor scale - sharps,,1570,T,,,,,,L,,
,85300,GAM-,1570-2,PLAY,Key Signature Canoes 3,See a scale pattern and select the key signature that makes it a minor scale - sharps,,1570,T,,,,,,L,,
,85350,GAM-,1570-3,QUIZ,Key Signature Canoes 3,See a scale pattern and select the key signature that makes it a minor scale - sharps,,1570,T,,,,,,L,,
,89900,GAM-,1570-5,REVIEW,Key Signature Canoes 3,See a scale pattern and select the key signature that makes it a minor scale - sharps,,1570,T,,,,,,L,,
,85700,GAM-,1580-1,LEARN,Key Signature Canoes 4,See a scale pattern and select the key signature that makes it a minor scale - flats,,1580,T,,,,,,L,,
,85750,GAM-,1580-2,PLAY,Key Signature Canoes 4,See a scale pattern and select the key signature that makes it a minor scale - flats,,1580,T,,,,,,L,,
,85800,GAM-,1580-3,QUIZ,Key Signature Canoes 4,See a scale pattern and select the key signature that makes it a minor scale - flats,,1580,T,,,,,,L,,
,90350,GAM-,1580-5,REVIEW,Key Signature Canoes 4,See a scale pattern and select the key signature that makes it a minor scale - flats,,1580,T,,,,,,L,,
,84200,GAM-,1590-1,LEARN,Key Signature Keynotes 1,See a keynote and identify its key signature - all sharps,,1590,T,,,,,,L,,
,84250,GAM-,1590-2,PLAY,Key Signature Keynotes 1,See a keynote and identify its key signature - all sharps,,1590,T,,,,,,L,,
,84300,GAM-,1590-3,QUIZ,Key Signature Keynotes 1,See a keynote and identify its key signature - all sharps,,1590,T,,,,,,L,,
,87400,GAM-,1590-5,REVIEW,Key Signature Keynotes 1,See a keynote and identify its key signature - all sharps,,1590,T,,,,,,L,,
,89250,GAM-,1600-1,LEARN,Key Signature Keynotes 2,See a keynote and identify its key signature - all flats,,1600,T,,,,,,L,,
,89300,GAM-,1600-2,PLAY,Key Signature Keynotes 2,See a keynote and identify its key signature - all flats,,1600,T,,,,,,L,,
,89350,GAM-,1600-3,QUIZ,Key Signature Keynotes 2,See a keynote and identify its key signature - all flats,,1600,T,,,,,,L,,
,90300,GAM-,1600-5,REVIEW,Key Signature Keynotes 2,See a keynote and identify its key signature - all flats,,1600,T,,,,,,L,,
,61800,GAM-,1610-1,LEARN,Key Signature Warehouse 1,Identify key signatures through 4 sharps and 2 flats,,1610,T,,,,,,L,,
,61850,GAM-,1610-2,PLAY,Key Signature Warehouse 1,Identify key signatures through 4 sharps and 2 flats,,1610,T,,,,,,L,,
,61900,GAM-,1610-3,QUIZ,Key Signature Warehouse 1,Identify key signatures through 4 sharps and 2 flats,,1610,T,,,,,,L,,
,64150,GAM-,1610-5,REVIEW,Key Signature Warehouse 1,Identify key signatures through 4 sharps and 2 flats,,1610,T,,,,,,L,,
,68450,GAM-,1610-1,LEARN,Key Signature Warehouse 1,Identify key signatures through 4 sharps and 2 flats,,1610,T,,,,,,L,,
,68500,GAM-,1610-2,PLAY,Key Signature Warehouse 1,Identify key signatures through 4 sharps and 2 flats,,1610,T,,,,,,L,,
,68550,GAM-,1610-3,QUIZ,Key Signature Warehouse 1,Identify key signatures through 4 sharps and 2 flats,,1610,T,,,,,,L,,
,70100,GAM-,1610-5,REVIEW,Key Signature Warehouse 1,Identify key signatures through 4 sharps and 2 flats,,1610,T,,,,,,L,,
,76100,GAM-,1620-1,LEARN,Key Signature Warehouse 2,Identify sharp key signatures ,,1620,T,,,,,,L,,
,76150,GAM-,1620-2,PLAY,Key Signature Warehouse 2,Identify sharp key signatures ,,1620,T,,,,,,L,,
,76200,GAM-,1620-3,QUIZ,Key Signature Warehouse 2,Identify sharp key signatures ,,1620,T,,,,,,L,,
,78950,GAM-,1620-5,REVIEW,Key Signature Warehouse 2,Identify sharp key signatures ,,1620,T,,,,,,L,,
,76700,GAM-,1630-1,LEARN,Key Signature Warehouse 3,Identify flat key signatures ,,1630,T,,,,,,L,,
,76750,GAM-,1630-2,PLAY,Key Signature Warehouse 3,Identify flat key signatures ,,1630,T,,,,,,L,,
,76800,GAM-,1630-3,QUIZ,Key Signature Warehouse 3,Identify flat key signatures ,,1630,T,,,,,,L,,
,79150,GAM-,1630-5,REVIEW,Key Signature Warehouse 3,Identify flat key signatures ,,1630,T,,,,,,L,,
,52100,GAM-,1790-2,PLAY,Major/minor Triad Match 1,Matching major and minor triads in a popular game format - untimed,,1790,T,,,,,,L,,
,56550,GAM-,1800-2,PLAY,Major/minor Triad Match 2,Matching major and minor triads in a popular game format - timed,,1800,T,,,,,,L,,
,61050,GAM-,1870-1,LEARN,Melody Mayhem 1,"See two melodies in 3/4 range of a 5th, 2nds and 3rds & tell which one you hear",,1870,T,,,,,,L,,
,61100,GAM-,1870-2,PLAY,Melody Mayhem 1,"See two melodies in 3/4 range of a 5th, 2nds and 3rds & tell which one you hear",,1870,T,,,,,,L,,
,61150,GAM-,1870-3,QUIZ,Melody Mayhem 1,"See two melodies in 3/4 range of a 5th, 2nds and 3rds & tell which one you hear",,1870,T,,,,,,L,,
,65550,GAM-,1870-1,LEARN,Melody Mayhem 1,"See two melodies in 3/4 range of a 5th, 2nds and 3rds & tell which one you hear",,1870,T,,,,,,L,,
,63860,GAM-,1870-5,REVIEW,Melody Mayhem 1,"See two melodies in 3/4 range of a 5th, 2nds and 3rds & tell which one you hear",,1880,T,,,,,,L,,
,73550,GAM-,1880-2,PLAY,Melody Mayhem 2,"Which melody do you hear? In 3-4 & 4-4, C-F-G pentascales",,1880,T,,,,,,L,,
,73600,GAM-,1880-3,QUIZ,Melody Mayhem 2,"Which melody do you hear? In 3-4 & 4-4, C-F-G pentascales",,1880,T,,,,,,L,,
,77050,GAM-,1880-5,REVIEW,Melody Mayhem 2,"Which melody do you hear? In 3-4 & 4-4, C-F-G pentascales",,1880,T,,,,,,L,,
,77350,GAM-,1890-1,LEARN,Melody Mayhem 3,"Which melody do you hear? In 3-4 & 4-4, eighth-note pairs, C-F-G pentascales",,1890,T,,,,,,L,,
,77400,GAM-,1890-2,PLAY,Melody Mayhem 3,"Which melody do you hear? In 3-4 & 4-4, eighth-note pairs, C-F-G pentascales",,1890,T,,,,,,L,,
,77450,GAM-,1890-3,QUIZ,Melody Mayhem 3,"Which melody do you hear? In 3-4 & 4-4, eighth-note pairs, C-F-G pentascales",,1890,T,,,,,,L,,
,79550,GAM-,1890-5,REVIEW,Melody Mayhem 3,"Which melody do you hear? In 3-4 & 4-4, eighth-note pairs, C-F-G pentascales",,1890,T,,,,,,L,,
,85550,GAM-,1900-1,LEARN,Melody Mayhem 4,Which melody do you hear? Major or parallel minor? Triplets and 16ths,,1900,T,,,,,,L,,
,85600,GAM-,1900-2,PLAY,Melody Mayhem 4,Which melody do you hear? Major or parallel minor? Triplets and 16ths,,1900,T,,,,,,L,,
,85650,GAM-,1900-3,QUIZ,Melody Mayhem 4,Which melody do you hear? Major or parallel minor? Triplets and 16ths,,1900,T,,,,,,L,,
,87000,GAM-,1900-5,REVIEW,Melody Mayhem 4,Which melody do you hear? Major or parallel minor? Triplets and 16ths,,1900,T,,,,,,L,,
,87750,GAM-,1910-1,LEARN,Melody Mayhem 5,"Which melody do you hear? Three melodies, D, A, E & Bb, 6-8 meter",,1910,T,,,,,,L,,
,87800,GAM-,1910-2,PLAY,Melody Mayhem 5,"Which melody do you hear? Three melodies, D, A, E & Bb, 6-8 meter",,1910,T,,,,,,L,,
,87850,GAM-,1910-3,QUIZ,Melody Mayhem 5,"Which melody do you hear? Three melodies, D, A, E & Bb, 6-8 meter",,1910,T,,,,,,L,,
,90200,GAM-,1910-5,REVIEW,Melody Mayhem 5,"Which melody do you hear? Three melodies, D, A, E & Bb, 6-8 meter",,1910,T,,,,,,L,,
,55350,GAM-,2070-1,LEARN,Meter Match 1,Aurally identify whether music is in 2/4 (duple) or 3/4 (triple) meter.,,2070,T,,,,,,L,,
,55400,GAM-,2070-2,PLAY,Meter Match 1,Aurally identify whether music is in 2/4 (duple) or 3/4 (triple) meter.,,2070,T,,,,,,L,,
,55450,GAM-,2070-3,QUIZ,Meter Match 1,Aurally identify whether music is in 2/4 (duple) or 3/4 (triple) meter.,,2070,T,,,,,,L,,
,58450,GAM-,2070-5,REVIEW,Meter Match 1,Aurally identify whether music is in 2/4 (duple) or 3/4 (triple) meter.,,2070,T,,,,,,L,,
,73800,GAM-,2080-1,LEARN,Minor Keyboard Playback 1,Hear & then play back random patterns in the A natural minor scale-on the onscreen keyboard,,2080,T,,,,,,L,,
,73850,GAM-,2080-2,PLAY,Minor Keyboard Playback 1,Hear & then play back random patterns in the A natural minor scale-on the onscreen keyboard,,2080,T,,,,,,L,,
,73900,GAM-,2080-3,QUIZ,Minor Keyboard Playback 1,Hear & then play back random patterns in the A natural minor scale-on the onscreen keyboard,,2080,T,,,,,,L,,
,74550,GAM-,2090-1,LEARN,MIDI Minor Keyboard Playback 1,Hear & play back random patterns in the A natural minor scale,,2090,T,M,,,,,L,,
,74600,GAM-,2090-2,PLAY,MIDI Minor Keyboard Playback 1,Hear & play back random patterns in the A natural minor scale,,2090,T,M,,,,,L,,
,74650,GAM-,2090-3,QUIZ,MIDI Minor Keyboard Playback 1,Hear & play back random patterns in the A natural minor scale,,2090,T,M,,,,,L,,
,87200,GAM-,2090-5,REVIEW,MIDI Minor Keyboard Playback 1,Hear & play back random patterns in the A natural minor scale,,2090,T,M,,,,,L,,
,82400,GAM-,2100-1,LEARN,Minor Keyboard Playback 2,Hear & then play back random patterns in the D harmonic minor scale-on the onscreen keyboard,,2100,T,M,,,,,L,,
,82450,GAM-,2100-2,PLAY,Minor Keyboard Playback 2,Hear & then play back random patterns in the D harmonic minor scale-on the onscreen keyboard,,2100,T,M,,,,,L,,
,82500,GAM-,2100-3,QUIZ,Minor Keyboard Playback 2,Hear & then play back random patterns in the D harmonic minor scale-on the onscreen keyboard,,2100,T,M,,,,,L,,
,86900,GAM-,2110-5,REVIEW,MIDI Minor Keyboard Playback 2,Hear & play back random patterns in D harmonic minor scale - on the MIDI keyboard,,2110,T,M,,,,,L,,
,49950,GAM-,2280-1,LEARN,Musical Memory Challenge 1,"Hear, then playback random patterns in the C Major Scale",,2280,T,,,,,,L,,
,50000,GAM-,2280-2,PLAY,Musical Memory Challenge 1,"Hear, then playback random patterns in the C Major Scale",,2280,T,,,,,,L,,
,50050,GAM-,2280-3,QUIZ,Musical Memory Challenge 1,"Hear, then playback random patterns in the C Major Scale",,2280,T,,,,,,L,,
,52750,GAM-,2290-1,LEARN,Musical Memory Keybd Challenge 1,"Hear, then play back random patterns of notes from the C Major scale-onscreen keyboard",,2290,T,,,,,,L,,
,52800,GAM-,2290-2,PLAY,Musical Memory Keybd Challenge 1,"Hear, then play back random patterns of notes from the C Major scale-onscreen keyboard",,2290,T,,,,,,L,,
,52850,GAM-,2290-3,QUIZ,Musical Memory Keybd Challenge 1,"Hear, then play back random patterns of notes from the C Major scale-onscreen keyboard",,2290,T,,,,,,L,,
,56350,GAM-,2290-5,REVIEW,Musical Memory Keybd Challenge 1,"Hear, then play back random patterns of notes from the C Major scale-onscreen keyboard",,2290,T,,,,,,L,,
,62550,GAM-,2300-1,LEARN,Musical Memory Keybd Challenge 2,"Hear, then play back random patterns of notes from the bass G Major 1-octave scale-onscreen keybd",,2300,T,,,,,,L,,
,62600,GAM-,2300-2,PLAY,Musical Memory Keybd Challenge 2,"Hear, then play back random patterns of notes from the bass G Major 1-octave scale-onscreen keybd",,2300,T,,,,,,L,,
,62650,GAM-,2300-3,QUIZ,Musical Memory Keybd Challenge 2,"Hear, then play back random patterns of notes from the bass G Major 1-octave scale-onscreen keybd",,2300,T,,,,,,L,,
,63950,GAM-,2300-5,REVIEW,Musical Memory Keybd Challenge 2,"Hear, then play back random patterns of notes from the bass G Major 1-octave scale-onscreen keybd",,2300,T,,,,,,L,,
,71550,GAM-,2340-1,LEARN,Natural Minor Memory 1,"Hear, then play back random patterns in the A natural minor scale-on the staff",,2340,T,,,,,,L,,
,71600,GAM-,2340-2,PLAY,Natural Minor Memory 1,"Hear, then play back random patterns in the A natural minor scale-on the staff",,2340,T,,,,,,L,,
,71650,GAM-,2340-3,QUIZ,Natural Minor Memory 1,"Hear, then play back random patterns in the A natural minor scale-on the staff",,2340,T,,,,,,L,,
,53450,GAM-,2390-2,PLAY,Note Flakes 1,Read and name all treble notes,,2390,T,,,,,,L,,
,53500,GAM-,2390-3,QUIZ,Note Flakes 1,Read and name all treble notes,,2390,T,,,,,,L,,
,56750,GAM-,2410-2,PLAY,Note Flakes 2,See several notes on bass staff.  Which note is the letter shown?,,2410,T,,,,,,L,,
,56800,GAM-,2410-3,QUIZ,Note Flakes 2,See several notes on bass staff.  Which note is the letter shown?,,2410,T,,,,,,L,,
,60650,GAM-,2410-5,REVIEW,Note Flakes 2,See several notes on bass staff.  Which note is the letter shown?,,2410,T,,,,,,L,,
,57900,GAM-,2430-1,LEARN,Note Flakes-Diatonic Intervals 1,"Identify 2nds through octaves, Major and Perfect, on the staff",,2430,T,,,,,,L,,
,57950,GAM-,2430-2,PLAY,Note Flakes-Diatonic Intervals 1,"Identify 2nds through octaves, Major and Perfect, on the staff",,2430,T,,,,,,L,,
,58000,GAM-,2430-3,QUIZ,Note Flakes-Diatonic Intervals 1,"Identify 2nds through octaves, Major and Perfect, on the staff",,2430,T,,,,,,L,,
,64050,GAM-,2430-5,REVIEW,Note Flakes-Diatonic Intervals 1,"Identify 2nds through octaves, Major and Perfect, on the staff",,2430,T,,,,,,L,,
