,,,,,,,,,,,,
,AS OF,DELIVERED,,,88%,MusicLearningCommunity.com,D-,88%,,,,
,GAM-2720-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2730-1E  ,D,A,P,GAM-2730,Page Turner Letters 6,#NAME?,#NAME?,,,,
,GAM-2730-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2730-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2730-4E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2730-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2740-1E  ,D,A,P,GAM-2740,Page Turner Letters 7,#NAME?,#NAME?,,,,
,GAM-2740-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2740-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2740-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2750-1E,D,A,P,GAM-2750,Pattern Flashes 1,#NAME?,#NAME?,,,,
,GAM-2750-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2750-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2750-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2760-1E,D,A,P,GAM-2760,Pattern Flashes 2,#NAME?,#NAME?,,,,
,GAM-2760-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2760-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2760-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2770-1E,D,A,P,GAM-2770,Pattern Reading 1,#NAME?,#NAME?,,,,
,GAM-2770-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2770-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2770-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2790-1E,D,A,P,GAM-2790,Pattern Reading 2,#NAME?,#NAME?,,,,
,GAM-2790-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2790-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2790-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2810-1E,D,A,P,GAM-2810,Pentascale Toolbox 1,#NAME?,#NAME?,,,,
,GAM-2810-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2810-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2810-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2810-6E,D,N,N,,,#NAME?,Review2,,,,
,GAM-2820-1E,D,A,P,GAM-2820,Pentascale Toolbox 2,#NAME?,#NAME?,,,,
,GAM-2820-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2820-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2820-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2830-1E,D,A,P,GAM-2830,Pentascale Toolbox 3,#NAME?,#NAME?,,,,
,GAM-2830-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2830-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2830-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2840-1E  ,D,A,P,GAM-2840,Pick the Pattern 1,#NAME?,#NAME?,,,,
,GAM-2840-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2840-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2840-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2850-1E  ,D,A,P,GAM-2850,Pick the Pattern 2,#NAME?,#NAME?,,,,
,GAM-2850-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2850-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2850-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2860-2E  ,D,A,P,GAM-2860,Pick the Pattern Forte Piano,#NAME?,#NAME?,,,,
,GAM-2860-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2860-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2870-1E  ,D,A,P,GAM-2870,Pick the Pattern Loud Soft,#NAME?,#NAME?,,,,
,GAM-2870-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2870-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2870-5E ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2880-1E,D,A,N,GAM-2880,Pitch Detective 1,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2880-2E,D,A,N,,,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2880-3E,D,A,N,,,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2880-5E,D,A,N,,,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2890-1E,D,A,N,GAM-2890,Pitch Detective 2,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2890-2E,D,A,N,,,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2890-3E,D,A,N,,,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2890-4E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-2900-1E,N,N,,GAM-2900,Pitch Detective 3,#NAME?,#NAME?,,,,
,GAM-2900-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-2900-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-2900-4E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-2900-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-2910-1E,N,N,,GAM-2910,Pitch Detective 4,#NAME?,#NAME?,,,,
,GAM-2910-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-2910-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-2910-4E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-2910-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-2920-2E,D,A,P,GAM-2920,Practice Buddy 1,#NAME?,#NAME?,,,,
,GAM-2920-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2920-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2930-1E,D,A,N,GAM-2930,Random Rhythms 1,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2930-2E,D,A,N,,,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2930-3E,D,A,N,,,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2930-5E,D,A,N,,,#NAME?,#NAME?,Blank Screens,6/4/22,,
,GAM-2940-1E,D,A,N,GAM-2940,Relatively Speaking 1,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-2940-2E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-2940-3E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-2940-5E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-2950-1E  ,D,A,P,GAM-2950,Rhythm Factory 1,#NAME?,#NAME?,,,,
,GAM-2950-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2950-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2950-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2960-1E  ,D,A,P,GAM-2960,Rhythm Factory 2,#NAME?,#NAME?,,,,
,GAM-2960-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2960-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2960-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2970-1E  ,D,A,P,GAM-2970,Rhythm Factory 3,#NAME?,#NAME?,,,,
,GAM-2970-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2970-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2970-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2980-1E  ,D,A,P,GAM-2980,Rhythm Factory 4,#NAME?,#NAME?,,,,
,GAM-2980-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2980-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2980-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2990-1E,D,A,P,GAM-2990,Rhythm Finder 1,#NAME?,#NAME?,,,,
,GAM-2990-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2990-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-2990-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3000-1E,D,A,P,GAM-3000,Rhythm Math 1,#NAME?,#NAME?,,,,
,GAM-3000-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3000-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3000-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3010-1E,N,N,,GAM-3010,Rhythm Math 5,#NAME?,#NAME?,,,,
,GAM-3010-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3010-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3010-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3020-1E  ,D,A,P,GAM-3020,Rhythm Pix 1,#NAME?,#NAME?,,,,
,GAM-3020-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3020-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3020-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3030-1E  ,D,A,P,GAM-3030,Rhythm Pix 2,#NAME?,#NAME?,,,,
,GAM-3030-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3030-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3030-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3040-1E  ,D,A,P,GAM-3040,Rhythm Pix 3,#NAME?,#NAME?,,,,
,GAM-3040-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3040-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3040-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3050-1E  ,D,A,P,GAM-3050,Rhythm Pix 4,#NAME?,#NAME?,,,,
,GAM-3050-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3050-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3050-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3060-1E  ,D,A,P,GAM-3060,Rhythm Pop 1,#NAME?,#NAME?,,,,
,GAM-3060-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3060-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3060-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3070-1E  ,D,A,P,GAM-3070,Rhythm Pop 1A,#NAME?,#NAME?,,,,
,GAM-3070-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3070-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3070-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3080-1E  ,D,A,P,GAM-3080,Rhythm Pop 2,#NAME?,#NAME?,,,,
,GAM-3080-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3080-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3080-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3090-1E  ,D,A,P,GAM-3090,Rhythm Pop 3,#NAME?,#NAME?,,,,
,GAM-3090-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3090-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3090-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3100-1E  ,D,A,P,GAM-3100,Rhythm Pop 4,#NAME?,#NAME?,,,,
,GAM-3100-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3100-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3100-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3110-1E  ,D,A,P,GAM-3110,Rhythm Pop 5,#NAME?,#NAME?,,,,
,GAM-3110-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3110-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3110-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3120-1E,D,A,P,GAM-3120,Rhythm Rally 1,#NAME?,#NAME?,,,,
,GAM-3120-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3120-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3120-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3130-1A,D,A,P,GAM-3130,Rhythm Rally 1A,#NAME?,#NAME?,Notation is missing and audio is not working on Rhythm Rally 1A,,,
,GAM-3130-2A,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3130-3A,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3140-1E,D,A,P,GAM-3140,Rhythm Rally 2,#NAME?,#NAME?,,,,
,GAM-3140-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3140-13,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3140-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3150-1E,D,A,P,GAM-3150,Rhythm Regatta 1,#NAME?,#NAME?,,,,
,GAM-3150-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3150-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3150-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3160-1E,D,A,P,GAM-3160,Rhythm Regatta 2,#NAME?,#NAME?,,,,
,GAM-3160-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3160-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3160-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3170-1E,D,A,P,GAM-3170,Rhythm Regatta 3,#NAME?,#NAME?,,,,
,GAM-3170-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3170-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3170-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3180-1E,D,A,P,GAM-3180,Rhythm Regatta 4,#NAME?,#NAME?,,,,
,GAM-3180-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3180-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3180-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3190-1E,D,A,P,GAM-3190,Rhythm Regatta 5,#NAME?,#NAME?,,,,
,GAM-3190-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3190-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3190-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3200-1E,N,N,,GAM-3200,Rhythm Riff 1,#NAME?,#NAME?,,,,
,GAM-3200-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3200-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3200-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3210-1E  ,D,A,P,GAM-3210,Rhythm Rockets 1,#NAME?,#NAME?,,,,
,GAM-3210-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3210-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3210-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3220-1E  ,D,A,P,GAM-3220,Rhythm Rockets 2,#NAME?,#NAME?,,,,
,GAM-3220-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3220-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3220-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3230-1E  ,D,A,P,GAM-3230,Rhythm Rockets 3,#NAME?,#NAME?,,,,
,GAM-3230-2E  ,D,A,P,,,#NAME?,#NAME?,Game counter,5/11/22,,
,GAM-3230-3E  ,D,A,P,,,#NAME?,#NAME?,does not,5/11/22,,
,GAM-3230-5E  ,D,A,P,,,#NAME?,#NAME?,decrease,5/11/22,,
,GAM-3240-1E  ,D,A,P,GAM-3240,Rhythm Rockets 4,#NAME?,#NAME?,,,,
,GAM-3240-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3240-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3240-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3250-1E  ,D,A,P,GAM-3250,Rhythm Rockets 5,#NAME?,#NAME?,,,,
,GAM-3250-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3250-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3250-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3260-1E,D,A,P,GAM-3260,Rhythm Writer 1,#NAME?,#NAME?,Sabrina Shivley problem with bar lines 11-2-21,,,
,GAM-3260-2E,D,A,,,,#NAME?,#NAME?,Placement of the bar,,11/2/2021,
,GAM-3260-3E,D,A,,,,#NAME?,#NAME?,lines is too sensitive.,,11/2/2021,
,GAM-3260-5E,D,A,,,,#NAME?,#NAME?,Incorrect scores due,,11/2/2021,
,GAM-3270-1E,D,A,,GAM-3270,Rhythm Writer 2,#NAME?,#NAME?,to lines not snapping,,11/2/2021,
,GAM-3270-2E,D,A,,,,#NAME?,#NAME?,in place rather than,,11/2/2021,
,GAM-3270-3E,D,A,,,,#NAME?,#NAME?,mistake with music,,11/2/2021,
,GAM-3270-5E,D,A,,,,#NAME?,#NAME?,,,11/2/2021,
,GAM-3280-1E,D,A,,GAM-3280,Rhythm Writer 3,#NAME?,#NAME?,Placement of the bar,,11/2/2021,
,GAM-3280-2E,D,A,,,,#NAME?,#NAME?,lines is too sensitive.,,11/2/2021,
,GAM-3280-3E,D,A,,,,#NAME?,#NAME?,Incorrect scores due,,11/2/2021,
,GAM-3280-5E,D,A,,,,#NAME?,#NAME?,to lines not snapping,,11/2/2021,
,GAM-3290-1E,D,A,,GAM-3290,Rhythm Writer 4,#NAME?,#NAME?,in place rather than,,11/2/2021,
,GAM-3290-2E,D,A,,,,#NAME?,#NAME?,mistake with music,,11/2/2021,
,GAM-3290-3E,D,A,,,,#NAME?,#NAME?,,,11/2/2021,
,GAM-3290-5E,D,A,,,,#NAME?,#NAME?,,,11/2/2021,
,GAM-3300-1E,D,A,,GAM-3300,Rhythm Writer 5,#NAME?,#NAME?,Placement of the bar,,11/2/2021,
,GAM-3300-2E,D,A,,,,#NAME?,#NAME?,lines is too sensitive.,,11/2/2021,
,GAM-3300-3E,D,A,,,,#NAME?,#NAME?,Incorrect scores due,,11/2/2021,
,GAM-3300-5E,D,A,,,,#NAME?,#NAME?,to lines not snapping,,11/2/2021,
,GAM-3310-1E,D,A,,GAM-3310,Rhythm Writer 6,#NAME?,#NAME?,in place rather than,,11/2/2021,
,GAM-3310-2E,D,A,,,,#NAME?,#NAME?,mistake with music,,11/2/2021,
,GAM-3310-3E,D,A,,,,#NAME?,#NAME?,,,11/2/2021,
,GAM-3310-5E,D,A,,,,#NAME?,#NAME?,,,11/2/2021,
,GAM-3320-1E,D,A,N,GAM-3320,Scale Family Picnic 1,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3320-2E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3320-3E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3320-5E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3330-1E,D,A,N,GAM-3330,Scale Family Picnic 2,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3330-2E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3330-3E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3330-5E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3340-1E,D,A,N,GAM-3340,Scale Family Picnic 3,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3340-2E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3340-3E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3340-5E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3350-1E,D,A,N,GAM-3350,Scale Family Picnic 4,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3350-2E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3350-3E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3350-5E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/5/22,,
,GAM-3360-1E  ,D,A,P,GAM-3360,Smiley & Friends-Rhythm 1,#NAME?,#NAME?,Erratic movements and overly sensitive,,,
,GAM-3360-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3360-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3360-5E  ,N,A,N,,,#NAME?,#NAME?,,,,
,GAM-3370-1E,D,A,P,GAM-3370,Smiley and Friends 1,#NAME?,#NAME?,,,,
,GAM-3370-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3370-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3380-1E,D,A,P,GAM-3380,Smiley and Friends 2,#NAME?,#NAME?,,,,
,GAM-3380-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3380-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3390-1E,D,A,P,GAM-3390,Snowball Stems 1,#NAME?,#NAME?,,,,
,GAM-3390-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3390-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3390-4E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3400-2E  ,D,A,P,GAM-3400,Song Birds 1,#NAME?,#NAME?,,,,
,GAM-3400-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3400-4E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3400-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3420-2E  ,D,A,P,GAM-3420,Song Birds 2,#NAME?,#NAME?,,,,
,GAM-3420-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3420-4E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3420-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3440-2E  ,D,A,P,GAM-3440,Song Birds 3,#NAME?,#NAME?,,,,
,GAM-3440-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3440-4E  ,N,A,N,,,#NAME?,#NAME?,,,,
,GAM-3440-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3460-2E  ,D,A,P,GAM-3460,Song Birds 4,#NAME?,#NAME?,,,,
,GAM-3460-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3460-4E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3460-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3480-1E,D,A,P,GAM-3480,Songbirds High and Low,#NAME?,#NAME?,,,,
,GAM-3480-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3480-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3480-5E,D,A,P,,,,,,,,
,GAM-3490-1E,D,A,N,GAM-3490,Songbirds Major & minor,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-3490-2E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-3490-3E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-3490-5E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-3500-2E  ,D,A,P,GAM-3500,Staff Birds 1,#NAME?,#NAME?,,,,
,GAM-3500-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3520-2E  ,D,A,P,GAM-3520,Staff Birds 2,#NAME?,#NAME?,,,,
,GAM-3520-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3520-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3540-2E  ,D,A,P,GAM-3540,Staff Birds 3,#NAME?,#NAME?,,,,
,GAM-3540-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3560-2E  ,D,A,P,GAM-3560,Staff Birds 4,#NAME?,#NAME?,,,,
,GAM-3560-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3580-2E  ,D,A,P,GAM-3580,Staff Birds 5,#NAME?,#NAME?,,,,
,GAM-3580-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3600-2E  ,D,A,P,GAM-3600,Staff Birds 6,#NAME?,#NAME?,,,,
,GAM-3600-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3620-2E  ,D,A,P,GAM-3620,Staff Birds 7,#NAME?,#NAME?,,,,
,GAM-3620-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3620-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3640-2E  ,D,A,P,GAM-3640,Staff Birds 8,#NAME?,#NAME?,,,,
,GAM-3640-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3640-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3660-1E  ,D,A,P,GAM-3660,Steady As She Goes,#NAME?,#NAME?,,,,
,GAM-3660-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3660-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3660-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3670-1E,D,A,P,GAM-3670,Step Right Up 1,#NAME?,#NAME?,,,,
,GAM-3670-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3670-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3670-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3680-1E,D,A,P,GAM-3680,Step Right Up 2,#NAME?,#NAME?,,,,
,GAM-3680-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3680-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3680-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3690-1E,D,A,P,GAM-3690,Step Right Up 3,#NAME?,#NAME?,,,,
,GAM-3690-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3690-23,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3690-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3700-1E,D,A,P,GAM-3700,Sticky Stockings 1,#NAME?,#NAME?,,,,
,GAM-3700-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3700-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3700-5E,D,A,N,,,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-3710-1E,D,A,P,GAM-3710,Sticky Stockings 2,#NAME?,#NAME?,,,,
,GAM-3710-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3710-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3710-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3720-1E  ,D,A,P,GAM-3720,Storm Chasers 1,#NAME?,#NAME?,,,,
,GAM-3720-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3720-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3720-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
