,,,,,,,
,,MONTHLY,,ANNUAL,,,Annual
,5685,$538.25 ,"$6,459.00 ",0.095,$1.14 ,,0.000
,5690,$538.55 ,"$6,462.60 ",0.095,$1.14 ,,0.000
,5695,$538.85 ,"$6,466.20 ",0.095,$1.14 ,,0.000
,5700,$539.15 ,"$6,469.80 ",0.095,$1.14 ,,0.000
,5705,$539.45 ,"$6,473.40 ",0.095,$1.13 ,,0.000
,5710,$539.75 ,"$6,477.00 ",0.095,$1.13 ,,0.000
,5715,$540.05 ,"$6,480.60 ",0.094,$1.13 ,,0.000
,5720,$540.35 ,"$6,484.20 ",0.094,$1.13 ,,0.000
,5725,$540.65 ,"$6,487.80 ",0.094,$1.13 ,,0.000
,5730,$540.95 ,"$6,491.40 ",0.094,$1.13 ,,0.000
,5735,$541.25 ,"$6,495.00 ",0.094,$1.13 ,,0.000
,5740,$541.55 ,"$6,498.60 ",0.094,$1.13 ,,0.000
,5745,$541.85 ,"$6,502.20 ",0.094,$1.13 ,,0.000
,5750,$542.15 ,"$6,505.80 ",0.094,$1.13 ,,0.000
,5755,$542.45 ,"$6,509.40 ",0.094,$1.13 ,,0.000
,5760,$542.75 ,"$6,513.00 ",0.094,$1.13 ,,0.000
,5765,$543.05 ,"$6,516.60 ",0.094,$1.13 ,,0.000
,5770,$543.35 ,"$6,520.20 ",0.094,$1.13 ,,0.000
,5775,$543.65 ,"$6,523.80 ",0.094,$1.13 ,,0.000
,5780,$543.95 ,"$6,527.40 ",0.094,$1.13 ,,0.000
,5785,$544.25 ,"$6,531.00 ",0.094,$1.13 ,,0.000
,5790,$544.55 ,"$6,534.60 ",0.094,$1.13 ,,0.000
,5795,$544.85 ,"$6,538.20 ",0.094,$1.13 ,,0.000
,5800,$545.15 ,"$6,541.80 ",0.094,$1.13 ,,0.000
,5805,$545.45 ,"$6,545.40 ",0.094,$1.13 ,,0.000
,5810,$545.75 ,"$6,549.00 ",0.094,$1.13 ,,0.000
,5815,$546.05 ,"$6,552.60 ",0.094,$1.13 ,,0.000
,5820,$546.35 ,"$6,556.20 ",0.094,$1.13 ,,0.000
,5825,$546.65 ,"$6,559.80 ",0.094,$1.13 ,,0.000
,5830,$546.95 ,"$6,563.40 ",0.094,$1.13 ,,0.000
,5835,$547.25 ,"$6,567.00 ",0.094,$1.13 ,,0.000
,5840,$547.55 ,"$6,570.60 ",0.094,$1.13 ,,0.000
,5845,$547.85 ,"$6,574.20 ",0.094,$1.12 ,,0.000
,5850,$548.15 ,"$6,577.80 ",0.094,$1.12 ,,0.000
,5855,$548.45 ,"$6,581.40 ",0.094,$1.12 ,,0.000
,5860,$548.75 ,"$6,585.00 ",0.094,$1.12 ,,0.000
,5865,$549.05 ,"$6,588.60 ",0.094,$1.12 ,,0.000
,5870,$549.35 ,"$6,592.20 ",0.094,$1.12 ,,0.000
,5875,$549.65 ,"$6,595.80 ",0.094,$1.12 ,,0.000
,5880,$549.95 ,"$6,599.40 ",0.094,$1.12 ,,0.000
,5885,$550.25 ,"$6,603.00 ",0.094,$1.12 ,,0.000
,5890,$550.55 ,"$6,606.60 ",0.093,$1.12 ,,0.000
,5895,$550.85 ,"$6,610.20 ",0.093,$1.12 ,,0.000
,5900,$551.15 ,"$6,613.80 ",0.093,$1.12 ,,0.000
,5905,$551.45 ,"$6,617.40 ",0.093,$1.12 ,,0.000
,5910,$551.75 ,"$6,621.00 ",0.093,$1.12 ,,0.000
,5915,$552.05 ,"$6,624.60 ",0.093,$1.12 ,,0.000
,5920,$552.35 ,"$6,628.20 ",0.093,$1.12 ,,0.000
,5925,$552.65 ,"$6,631.80 ",0.093,$1.12 ,,0.000
,5930,$552.95 ,"$6,635.40 ",0.093,$1.12 ,,0.000
,5935,$553.25 ,"$6,639.00 ",0.093,$1.12 ,,0.000
,5940,$553.55 ,"$6,642.60 ",0.093,$1.12 ,,0.000
,5945,$553.85 ,"$6,646.20 ",0.093,$1.12 ,,0.000
,5950,$554.15 ,"$6,649.80 ",0.093,$1.12 ,,0.000
,5955,$554.45 ,"$6,653.40 ",0.093,$1.12 ,,0.000
,5960,$554.75 ,"$6,657.00 ",0.093,$1.12 ,,0.000
,5965,$555.05 ,"$6,660.60 ",0.093,$1.12 ,,0.000
,5970,$555.35 ,"$6,664.20 ",0.093,$1.12 ,,0.000
,5975,$555.65 ,"$6,667.80 ",0.093,$1.12 ,,0.000
,5980,$555.95 ,"$6,671.40 ",0.093,$1.12 ,,0.000
,5985,$556.25 ,"$6,675.00 ",0.093,$1.12 ,,0.000
,5990,$556.55 ,"$6,678.60 ",0.093,$1.11 ,,0.000
,5995,$556.85 ,"$6,682.20 ",0.093,$1.11 ,,0.000
,6000,$557.15 ,"$6,685.80 ",0.093,$1.11 ,,0.000
,6005,$557.40 ,"$6,688.80 ",0.093,$1.11 ,,0.000
,6010,$557.65 ,"$6,691.80 ",0.093,$1.11 ,,0.000
,6015,$557.90 ,"$6,694.80 ",0.093,$1.11 ,,0.000
,6020,$558.15 ,"$6,697.80 ",0.093,$1.11 ,,0.000
,6025,$558.40 ,"$6,700.80 ",0.093,$1.11 ,,0.000
,6030,$558.65 ,"$6,703.80 ",0.093,$1.11 ,,0.000
,6035,$558.90 ,"$6,706.80 ",0.093,$1.11 ,,0.000
,6040,$559.15 ,"$6,709.80 ",0.093,$1.11 ,,0.000
,6045,$559.40 ,"$6,712.80 ",0.093,$1.11 ,,0.000
,6050,$559.65 ,"$6,715.80 ",0.093,$1.11 ,,0.000
,6055,$559.90 ,"$6,718.80 ",0.092,$1.11 ,,0.000
,6060,$560.15 ,"$6,721.80 ",0.092,$1.11 ,,0.000
,6065,$560.40 ,"$6,724.80 ",0.092,$1.11 ,,0.000
,6070,$560.65 ,"$6,727.80 ",0.092,$1.11 ,,0.000
,6075,$560.90 ,"$6,730.80 ",0.092,$1.11 ,,0.000
,6080,$561.15 ,"$6,733.80 ",0.092,$1.11 ,,0.000
,6085,$561.40 ,"$6,736.80 ",0.092,$1.11 ,,0.000
,6090,$561.65 ,"$6,739.80 ",0.092,$1.11 ,,0.000
,6095,$561.90 ,"$6,742.80 ",0.092,$1.11 ,,0.000
,6100,$562.15 ,"$6,745.80 ",0.092,$1.11 ,,0.000
,6105,$562.40 ,"$6,748.80 ",0.092,$1.11 ,,0.000
,6110,$562.65 ,"$6,751.80 ",0.092,$1.11 ,,0.000
,6115,$562.90 ,"$6,754.80 ",0.092,$1.10 ,,0.000
,6120,$563.15 ,"$6,757.80 ",0.092,$1.10 ,,0.000
,6125,$563.40 ,"$6,760.80 ",0.092,$1.10 ,,0.000
,6130,$563.65 ,"$6,763.80 ",0.092,$1.10 ,,0.000
,6135,$563.90 ,"$6,766.80 ",0.092,$1.10 ,,0.000
,6140,$564.15 ,"$6,769.80 ",0.092,$1.10 ,,0.000
,6145,$564.40 ,"$6,772.80 ",0.092,$1.10 ,,0.000
,6150,$564.65 ,"$6,775.80 ",0.092,$1.10 ,,0.000
,6155,$564.90 ,"$6,778.80 ",0.092,$1.10 ,,0.000
,6160,$565.15 ,"$6,781.80 ",0.092,$1.10 ,,0.000
,6165,$565.40 ,"$6,784.80 ",0.092,$1.10 ,,0.000
,6170,$565.65 ,"$6,787.80 ",0.092,$1.10 ,,0.000
,6175,$565.90 ,"$6,790.80 ",0.092,$1.10 ,,0.000
,6180,$566.15 ,"$6,793.80 ",0.092,$1.10 ,,0.000
,6185,$566.40 ,"$6,796.80 ",0.092,$1.10 ,,0.000
,6190,$566.65 ,"$6,799.80 ",0.092,$1.10 ,,0.000
,6195,$566.90 ,"$6,802.80 ",0.092,$1.10 ,,0.000
,6200,$567.15 ,"$6,805.80 ",0.091,$1.10 ,,0.000
,6205,$567.40 ,"$6,808.80 ",0.091,$1.10 ,,0.000
,6210,$567.65 ,"$6,811.80 ",0.091,$1.10 ,,0.000
,6215,$567.90 ,"$6,814.80 ",0.091,$1.10 ,,0.000
,6220,$568.15 ,"$6,817.80 ",0.091,$1.10 ,,0.000
,6225,$568.40 ,"$6,820.80 ",0.091,$1.10 ,,0.000
,6230,$568.65 ,"$6,823.80 ",0.091,$1.10 ,,0.000
,6235,$568.90 ,"$6,826.80 ",0.091,$1.09 ,,0.000
,6240,$569.15 ,"$6,829.80 ",0.091,$1.09 ,,0.000
,6245,$569.40 ,"$6,832.80 ",0.091,$1.09 ,,0.000
,6250,$569.65 ,"$6,835.80 ",0.091,$1.09 ,,0.000
,6255,$569.90 ,"$6,838.80 ",0.091,$1.09 ,,0.000
,6260,$570.15 ,"$6,841.80 ",0.091,$1.09 ,,0.000
,6265,$570.40 ,"$6,844.80 ",0.091,$1.09 ,,0.000
,6270,$570.65 ,"$6,847.80 ",0.091,$1.09 ,,0.000
,6275,$570.90 ,"$6,850.80 ",0.091,$1.09 ,,0.000
,6280,$571.15 ,"$6,853.80 ",0.091,$1.09 ,,0.000
,6285,$571.40 ,"$6,856.80 ",0.091,$1.09 ,,0.000
,6290,$571.65 ,"$6,859.80 ",0.091,$1.09 ,,0.000
,6295,$571.90 ,"$6,862.80 ",0.091,$1.09 ,,0.000
,6300,$572.15 ,"$6,865.80 ",0.091,$1.09 ,,0.000
,6305,$572.40 ,"$6,868.80 ",0.091,$1.09 ,,0.000
,6310,$572.65 ,"$6,871.80 ",0.091,$1.09 ,,0.000
,6315,$572.90 ,"$6,874.80 ",0.091,$1.09 ,,0.000
,6320,$573.15 ,"$6,877.80 ",0.091,$1.09 ,,0.000
,6325,$573.40 ,"$6,880.80 ",0.091,$1.09 ,,0.000
,6330,$573.65 ,"$6,883.80 ",0.091,$1.09 ,,0.000
,6335,$573.90 ,"$6,886.80 ",0.091,$1.09 ,,0.000
,6340,$574.15 ,"$6,889.80 ",0.091,$1.09 ,,0.000
,6345,$574.40 ,"$6,892.80 ",0.091,$1.09 ,,0.000
,6350,$574.65 ,"$6,895.80 ",0.090,$1.09 ,,0.000
,6355,$574.90 ,"$6,898.80 ",0.090,$1.09 ,,0.000
,6360,$575.15 ,"$6,901.80 ",0.090,$1.09 ,,0.000
,6365,$575.40 ,"$6,904.80 ",0.090,$1.08 ,,0.000
,6370,$575.65 ,"$6,907.80 ",0.090,$1.08 ,,0.000
,6375,$575.90 ,"$6,910.80 ",0.090,$1.08 ,,0.000
,6380,$576.15 ,"$6,913.80 ",0.090,$1.08 ,,0.000
,6385,$576.40 ,"$6,916.80 ",0.090,$1.08 ,,0.000
,6390,$576.65 ,"$6,919.80 ",0.090,$1.08 ,,0.000
,6395,$576.90 ,"$6,922.80 ",0.090,$1.08 ,,0.000
,6400,$577.15 ,"$6,925.80 ",0.090,$1.08 ,,0.000
,6405,$577.40 ,"$6,928.80 ",0.090,$1.08 ,,0.000
,6410,$577.65 ,"$6,931.80 ",0.090,$1.08 ,,0.000
,6415,$577.90 ,"$6,934.80 ",0.090,$1.08 ,,0.000
,6420,$578.15 ,"$6,937.80 ",0.090,$1.08 ,,0.000
,6425,$578.40 ,"$6,940.80 ",0.090,$1.08 ,,0.000
,6430,$578.65 ,"$6,943.80 ",0.090,$1.08 ,,0.000
,6435,$578.90 ,"$6,946.80 ",0.090,$1.08 ,,0.000
,6440,$579.15 ,"$6,949.80 ",0.090,$1.08 ,,0.000
,6445,$579.40 ,"$6,952.80 ",0.090,$1.08 ,,0.000
,6450,$579.65 ,"$6,955.80 ",0.090,$1.08 ,,0.000
,6455,$579.90 ,"$6,958.80 ",0.090,$1.08 ,,0.000
,6460,$580.15 ,"$6,961.80 ",0.090,$1.08 ,,0.000
,6465,$580.40 ,"$6,964.80 ",0.090,$1.08 ,,0.000
,6470,$580.65 ,"$6,967.80 ",0.090,$1.08 ,,0.000
,6475,$580.90 ,"$6,970.80 ",0.090,$1.08 ,,0.000
,6480,$581.15 ,"$6,973.80 ",0.090,$1.08 ,,0.000
,6485,$581.40 ,"$6,976.80 ",0.090,$1.08 ,,0.000
,6490,$581.65 ,"$6,979.80 ",0.090,$1.08 ,,0.000
,6495,$581.90 ,"$6,982.80 ",0.090,$1.08 ,,0.000
,6500,$582.15 ,"$6,985.80 ",0.090,$1.07 ,,0.000
,6505,$582.40 ,"$6,988.80 ",0.090,$1.07 ,,0.000
,6510,$582.65 ,"$6,991.80 ",0.090,$1.07 ,,0.000
,6515,$582.90 ,"$6,994.80 ",0.089,$1.07 ,,0.000
,6520,$583.15 ,"$6,997.80 ",0.089,$1.07 ,,0.000
,6525,$583.40 ,"$7,000.80 ",0.089,$1.07 ,,0.000
,6530,$583.65 ,"$7,003.80 ",0.089,$1.07 ,,0.000
,6535,$583.90 ,"$7,006.80 ",0.089,$1.07 ,,0.000
,6540,$584.15 ,"$7,009.80 ",0.089,$1.07 ,,0.000
,6545,$584.40 ,"$7,012.80 ",0.089,$1.07 ,,0.000
,6550,$584.65 ,"$7,015.80 ",0.089,$1.07 ,,0.000
,6555,$584.90 ,"$7,018.80 ",0.089,$1.07 ,,0.000
,6560,$585.15 ,"$7,021.80 ",0.089,$1.07 ,,0.000
,6565,$585.40 ,"$7,024.80 ",0.089,$1.07 ,,0.000
,6570,$585.65 ,"$7,027.80 ",0.089,$1.07 ,,0.000
,6575,$585.90 ,"$7,030.80 ",0.089,$1.07 ,,0.000
,6580,$586.15 ,"$7,033.80 ",0.089,$1.07 ,,0.000
,6585,$586.40 ,"$7,036.80 ",0.089,$1.07 ,,0.000
,6590,$586.65 ,"$7,039.80 ",0.089,$1.07 ,,0.000
,6595,$586.90 ,"$7,042.80 ",0.089,$1.07 ,,0.000
,6600,$587.15 ,"$7,045.80 ",0.089,$1.07 ,,0.000
,6605,$587.40 ,"$7,048.80 ",0.089,$1.07 ,,0.000
,6610,$587.65 ,"$7,051.80 ",0.089,$1.07 ,,0.000
,6615,$587.90 ,"$7,054.80 ",0.089,$1.07 ,,0.000
,6620,$588.15 ,"$7,057.80 ",0.089,$1.07 ,,0.000
,6625,$588.40 ,"$7,060.80 ",0.089,$1.07 ,,0.000
,6630,$588.65 ,"$7,063.80 ",0.089,$1.07 ,,0.000
,6635,$588.90 ,"$7,066.80 ",0.089,$1.07 ,,0.000
,6640,$589.15 ,"$7,069.80 ",0.089,$1.06 ,,0.000
,6645,$589.40 ,"$7,072.80 ",0.089,$1.06 ,,0.000
,6650,$589.65 ,"$7,075.80 ",0.089,$1.06 ,,0.000
,6655,$589.90 ,"$7,078.80 ",0.089,$1.06 ,,0.000
,6660,$590.15 ,"$7,081.80 ",0.089,$1.06 ,,0.000
,6665,$590.40 ,"$7,084.80 ",0.089,$1.06 ,,0.000
,6670,$590.65 ,"$7,087.80 ",0.089,$1.06 ,,0.000
,6675,$590.90 ,"$7,090.80 ",0.089,$1.06 ,,0.000
,6680,$591.15 ,"$7,093.80 ",0.088,$1.06 ,,0.000
,6685,$591.40 ,"$7,096.80 ",0.088,$1.06 ,,0.000
,6690,$591.65 ,"$7,099.80 ",0.088,$1.06 ,,0.000
,6695,$591.90 ,"$7,102.80 ",0.088,$1.06 ,,0.000
,6700,$592.15 ,"$7,105.80 ",0.088,$1.06 ,,0.000
,6705,$592.40 ,"$7,108.80 ",0.088,$1.06 ,,0.000
,6710,$592.65 ,"$7,111.80 ",0.088,$1.06 ,,0.000
,6715,$592.90 ,"$7,114.80 ",0.088,$1.06 ,,0.000
,6720,$593.15 ,"$7,117.80 ",0.088,$1.06 ,,0.000
,6725,$593.40 ,"$7,120.80 ",0.088,$1.06 ,,0.000
,6730,$593.65 ,"$7,123.80 ",0.088,$1.06 ,,0.000
,6735,$593.90 ,"$7,126.80 ",0.088,$1.06 ,,0.000
,6740,$594.15 ,"$7,129.80 ",0.088,$1.06 ,,0.000
,6745,$594.40 ,"$7,132.80 ",0.088,$1.06 ,,0.000
,6750,$594.65 ,"$7,135.80 ",0.088,$1.06 ,,0.000
,6755,$594.90 ,"$7,138.80 ",0.088,$1.06 ,,0.000
,6760,$595.15 ,"$7,141.80 ",0.088,$1.06 ,,0.000
,6765,$595.40 ,"$7,144.80 ",0.088,$1.06 ,,0.000
,6770,$595.65 ,"$7,147.80 ",0.088,$1.06 ,,0.000
,6775,$595.90 ,"$7,150.80 ",0.088,$1.06 ,,0.000
,6780,$596.15 ,"$7,153.80 ",0.088,$1.06 ,,0.000
,6785,$596.40 ,"$7,156.80 ",0.088,$1.05 ,,0.000
,6790,$596.65 ,"$7,159.80 ",0.088,$1.05 ,,0.000
,6795,$596.90 ,"$7,162.80 ",0.088,$1.05 ,,0.000
,6800,$597.15 ,"$7,165.80 ",0.088,$1.05 ,,0.000
,6805,$597.40 ,"$7,168.80 ",0.088,$1.05 ,,0.000
,6810,$597.65 ,"$7,171.80 ",0.088,$1.05 ,,0.000
,6815,$597.90 ,"$7,174.80 ",0.088,$1.05 ,,0.000
,6820,$598.15 ,"$7,177.80 ",0.088,$1.05 ,,0.000
,6825,$598.40 ,"$7,180.80 ",0.088,$1.05 ,,0.000
,6830,$598.65 ,"$7,183.80 ",0.088,$1.05 ,,0.000
,6835,$598.90 ,"$7,186.80 ",0.088,$1.05 ,,0.000
,6840,$599.15 ,"$7,189.80 ",0.088,$1.05 ,,0.000
,6845,$599.40 ,"$7,192.80 ",0.088,$1.05 ,,0.000
,6850,$599.65 ,"$7,195.80 ",0.088,$1.05 ,,0.000
,6855,$599.90 ,"$7,198.80 ",0.088,$1.05 ,,0.000
,6860,$600.15 ,"$7,201.80 ",0.087,$1.05 ,,0.000
,6865,$600.40 ,"$7,204.80 ",0.087,$1.05 ,,0.000
,6870,$600.65 ,"$7,207.80 ",0.087,$1.05 ,,0.000
,6875,$600.90 ,"$7,210.80 ",0.087,$1.05 ,,0.000
,6880,$601.15 ,"$7,213.80 ",0.087,$1.05 ,,0.000
,6885,$601.40 ,"$7,216.80 ",0.087,$1.05 ,,0.000
,6890,$601.65 ,"$7,219.80 ",0.087,$1.05 ,,0.000
,6895,$601.90 ,"$7,222.80 ",0.087,$1.05 ,,0.000
,6900,$602.15 ,"$7,225.80 ",0.087,$1.05 ,,0.000
,6905,$602.40 ,"$7,228.80 ",0.087,$1.05 ,,0.000
,6910,$602.65 ,"$7,231.80 ",0.087,$1.05 ,,0.000
,6915,$602.90 ,"$7,234.80 ",0.087,$1.05 ,,0.000
,6920,$603.15 ,"$7,237.80 ",0.087,$1.05 ,,0.000
,6925,$603.40 ,"$7,240.80 ",0.087,$1.05 ,,0.000
,6930,$603.65 ,"$7,243.80 ",0.087,$1.05 ,,0.000
,6935,$603.90 ,"$7,246.80 ",0.087,$1.04 ,,0.000
,6940,$604.15 ,"$7,249.80 ",0.087,$1.04 ,,0.000
,6945,$604.40 ,"$7,252.80 ",0.087,$1.04 ,,0.000
,6950,$604.65 ,"$7,255.80 ",0.087,$1.04 ,,0.000
,6955,$604.90 ,"$7,258.80 ",0.087,$1.04 ,,0.000
,6960,$605.15 ,"$7,261.80 ",0.087,$1.04 ,,0.000
,6965,$605.40 ,"$7,264.80 ",0.087,$1.04 ,,0.000
,6970,$605.65 ,"$7,267.80 ",0.087,$1.04 ,,0.000
,6975,$605.90 ,"$7,270.80 ",0.087,$1.04 ,,0.000
,6980,$606.15 ,"$7,273.80 ",0.087,$1.04 ,,0.000
,6985,$606.40 ,"$7,276.80 ",0.087,$1.04 ,,0.000
,6990,$606.65 ,"$7,279.80 ",0.087,$1.04 ,,0.000
,6995,$606.90 ,"$7,282.80 ",0.087,$1.04 ,,0.000
,7000,$607.15 ,"$7,285.80 ",0.087,$1.04 ,,0.000
,7005,$607.40 ,"$7,288.80 ",0.087,$1.04 ,,0.000
,7010,$607.65 ,"$7,291.80 ",0.087,$1.04 ,,0.000
,7015,$607.90 ,"$7,294.80 ",0.087,$1.04 ,,0.000
,7020,$608.15 ,"$7,297.80 ",0.087,$1.04 ,,0.000
,7025,$608.40 ,"$7,300.80 ",0.087,$1.04 ,,0.000
,7030,$608.65 ,"$7,303.80 ",0.087,$1.04 ,,0.000
,7035,$608.90 ,"$7,306.80 ",0.087,$1.04 ,,0.000
,7040,$609.15 ,"$7,309.80 ",0.087,$1.04 ,,0.000
,7045,$609.40 ,"$7,312.80 ",0.087,$1.04 ,,0.000
,7050,$609.65 ,"$7,315.80 ",0.086,$1.04 ,,0.000
,7055,$609.90 ,"$7,318.80 ",0.086,$1.04 ,,0.000
,7060,$610.15 ,"$7,321.80 ",0.086,$1.04 ,,0.000
,7065,$610.40 ,"$7,324.80 ",0.086,$1.04 ,,0.000
,7070,$610.65 ,"$7,327.80 ",0.086,$1.04 ,,0.000
,7075,$610.90 ,"$7,330.80 ",0.086,$1.04 ,,0.000
,7080,$611.15 ,"$7,333.80 ",0.086,$1.04 ,,0.000
,7085,$611.40 ,"$7,336.80 ",0.086,$1.04 ,,0.000
,7090,$611.65 ,"$7,339.80 ",0.086,$1.04 ,,0.000
,7095,$611.90 ,"$7,342.80 ",0.086,$1.03 ,,0.000
,7100,$612.15 ,"$7,345.80 ",0.086,$1.03 ,,0.000
,7105,$612.40 ,"$7,348.80 ",0.086,$1.03 ,,0.000
,7110,$612.65 ,"$7,351.80 ",0.086,$1.03 ,,0.000
,7115,$612.90 ,"$7,354.80 ",0.086,$1.03 ,,0.000
,7120,$613.15 ,"$7,357.80 ",0.086,$1.03 ,,0.000
,7125,$613.40 ,"$7,360.80 ",0.086,$1.03 ,,0.000
,7130,$613.65 ,"$7,363.80 ",0.086,$1.03 ,,0.000
,7135,$613.90 ,"$7,366.80 ",0.086,$1.03 ,,0.000
,7140,$614.15 ,"$7,369.80 ",0.086,$1.03 ,,0.000
,7145,$614.40 ,"$7,372.80 ",0.086,$1.03 ,,0.000
,7150,$614.65 ,"$7,375.80 ",0.086,$1.03 ,,0.000
,7155,$614.90 ,"$7,378.80 ",0.086,$1.03 ,,0.000
,7160,$615.15 ,"$7,381.80 ",0.086,$1.03 ,,0.000
,7165,$615.40 ,"$7,384.80 ",0.086,$1.03 ,,0.000
,7170,$615.65 ,"$7,387.80 ",0.086,$1.03 ,,0.000
,7175,$615.90 ,"$7,390.80 ",0.086,$1.03 ,,0.000
,7180,$616.15 ,"$7,393.80 ",0.086,$1.03 ,,0.000
,7185,$616.40 ,"$7,396.80 ",0.086,$1.03 ,,0.000
,7190,$616.65 ,"$7,399.80 ",0.086,$1.03 ,,0.000
,7195,$616.90 ,"$7,402.80 ",0.086,$1.03 ,,0.000
,7200,$617.15 ,"$7,405.80 ",0.086,$1.03 ,,0.000
,7205,$617.40 ,"$7,408.80 ",0.086,$1.03 ,,0.000
,7210,$617.65 ,"$7,411.80 ",0.086,$1.03 ,,0.000
,7215,$617.90 ,"$7,414.80 ",0.086,$1.03 ,,0.000
,7220,$618.15 ,"$7,417.80 ",0.086,$1.03 ,,0.000
,7225,$618.40 ,"$7,420.80 ",0.086,$1.03 ,,0.000
,7230,$618.65 ,"$7,423.80 ",0.086,$1.03 ,,0.000
,7235,$618.90 ,"$7,426.80 ",0.086,$1.03 ,,0.000
,7240,$619.15 ,"$7,429.80 ",0.086,$1.03 ,,0.000
,7245,$619.40 ,"$7,432.80 ",0.085,$1.03 ,,0.000
,7250,$619.65 ,"$7,435.80 ",0.085,$1.03 ,,0.000
,7255,$619.90 ,"$7,438.80 ",0.085,$1.03 ,,0.000
,7260,$620.15 ,"$7,441.80 ",0.085,$1.03 ,,0.000
,7265,$620.40 ,"$7,444.80 ",0.085,$1.02 ,,0.000
,7270,$620.65 ,"$7,447.80 ",0.085,$1.02 ,,0.000
,7275,$620.90 ,"$7,450.80 ",0.085,$1.02 ,,0.000
,7280,$621.15 ,"$7,453.80 ",0.085,$1.02 ,,0.000
,7285,$621.40 ,"$7,456.80 ",0.085,$1.02 ,,0.000
,7290,$621.65 ,"$7,459.80 ",0.085,$1.02 ,,0.000
,7295,$621.90 ,"$7,462.80 ",0.085,$1.02 ,,0.000
,7300,$622.15 ,"$7,465.80 ",0.085,$1.02 ,,0.000
,7305,$622.40 ,"$7,468.80 ",0.085,$1.02 ,,0.000
,7310,$622.65 ,"$7,471.80 ",0.085,$1.02 ,,0.000
,7315,$622.90 ,"$7,474.80 ",0.085,$1.02 ,,0.000
,7320,$623.15 ,"$7,477.80 ",0.085,$1.02 ,,0.000
,7325,$623.40 ,"$7,480.80 ",0.085,$1.02 ,,0.000
,7330,$623.65 ,"$7,483.80 ",0.085,$1.02 ,,0.000
,7335,$623.90 ,"$7,486.80 ",0.085,$1.02 ,,0.000
,7340,$624.15 ,"$7,489.80 ",0.085,$1.02 ,,0.000
,7345,$624.40 ,"$7,492.80 ",0.085,$1.02 ,,0.000
,7350,$624.65 ,"$7,495.80 ",0.085,$1.02 ,,0.000
,7355,$624.90 ,"$7,498.80 ",0.085,$1.02 ,,0.000
,7360,$625.15 ,"$7,501.80 ",0.085,$1.02 ,,0.000
,7365,$625.40 ,"$7,504.80 ",0.085,$1.02 ,,0.000
,7370,$625.65 ,"$7,507.80 ",0.085,$1.02 ,,0.000
,7375,$625.90 ,"$7,510.80 ",0.085,$1.02 ,,0.000
,7380,$626.15 ,"$7,513.80 ",0.085,$1.02 ,,0.000
,7385,$626.40 ,"$7,516.80 ",0.085,$1.02 ,,0.000
,7390,$626.65 ,"$7,519.80 ",0.085,$1.02 ,,0.000
,7395,$626.90 ,"$7,522.80 ",0.085,$1.02 ,,0.000
,7400,$627.15 ,"$7,525.80 ",0.085,$1.02 ,,0.000
,7405,$627.40 ,"$7,528.80 ",0.085,$1.02 ,,0.000
,7410,$627.65 ,"$7,531.80 ",0.085,$1.02 ,,0.000
,7415,$627.90 ,"$7,534.80 ",0.085,$1.02 ,,0.000
,7420,$628.15 ,"$7,537.80 ",0.085,$1.02 ,,0.000
,7425,$628.40 ,"$7,540.80 ",0.085,$1.02 ,,0.000
,7430,$628.65 ,"$7,543.80 ",0.085,$1.02 ,,0.000
,7435,$628.90 ,"$7,546.80 ",0.085,$1.02 ,,0.000
,7440,$629.15 ,"$7,549.80 ",0.085,$1.01 ,,0.000
,7445,$629.40 ,"$7,552.80 ",0.085,$1.01 ,,0.000
,7450,$629.65 ,"$7,555.80 ",0.085,$1.01 ,,0.000
,7455,$629.90 ,"$7,558.80 ",0.084,$1.01 ,,0.000
,7460,$630.15 ,"$7,561.80 ",0.084,$1.01 ,,0.000
,7465,$630.40 ,"$7,564.80 ",0.084,$1.01 ,,0.000
,7470,$630.65 ,"$7,567.80 ",0.084,$1.01 ,,0.000
,7475,$630.90 ,"$7,570.80 ",0.084,$1.01 ,,0.000
,7480,$631.15 ,"$7,573.80 ",0.084,$1.01 ,,0.000
,7485,$631.40 ,"$7,576.80 ",0.084,$1.01 ,,0.000
,7490,$631.65 ,"$7,579.80 ",0.084,$1.01 ,,0.000
,7495,$631.90 ,"$7,582.80 ",0.084,$1.01 ,,0.000
,7500,$632.15 ,"$7,585.80 ",0.084,$1.01 ,,0.000
,7505,$632.40 ,"$7,588.80 ",0.084,$1.01 ,,0.000
,7510,$632.65 ,"$7,591.80 ",0.084,$1.01 ,,0.000
,7515,$632.90 ,"$7,594.80 ",0.084,$1.01 ,,0.000
,7520,$633.15 ,"$7,597.80 ",0.084,$1.01 ,,0.000
,7525,$633.40 ,"$7,600.80 ",0.084,$1.01 ,,0.000
,7530,$633.65 ,"$7,603.80 ",0.084,$1.01 ,,0.000
,7535,$633.90 ,"$7,606.80 ",0.084,$1.01 ,,0.000
,7540,$634.15 ,"$7,609.80 ",0.084,$1.01 ,,0.000
,7545,$634.40 ,"$7,612.80 ",0.084,$1.01 ,,0.000
,7550,$634.65 ,"$7,615.80 ",0.084,$1.01 ,,0.000
,7555,$634.90 ,"$7,618.80 ",0.084,$1.01 ,,0.000
,7560,$635.15 ,"$7,621.80 ",0.084,$1.01 ,,0.000
,7565,$635.40 ,"$7,624.80 ",0.084,$1.01 ,,0.000
